trackName,seller,genre,released,ratings,trackId,url
ウンログ-うんち記録と腸活で健康管理と便秘対策,UNLOG K.K,Health & Fitness,2012-07-14,12707,539493829,https://apps.apple.com/jp/app/%E3%82%A6%E3%83%B3%E3%83%AD%E3%82%B0-%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2%E3%81%A8%E8%85%B8%E6%B4%BB%E3%81%A7%E5%81%A5%E5%BA%B7%E7%AE%A1%E7%90%86%E3%81%A8%E4%BE%BF%E7%A7%98%E5%AF%BE%E7%AD%96/id539493829?uo=4
便秘対策・お通じチェッカー,"ZAIZEN Co., Ltd.",Lifestyle,2012-09-18,9015,542571748,https://apps.apple.com/jp/app/%E4%BE%BF%E7%A7%98%E5%AF%BE%E7%AD%96-%E3%81%8A%E9%80%9A%E3%81%98%E3%83%81%E3%82%A7%E3%83%83%E3%82%AB%E3%83%BC/id542571748?uo=4
腸note－腸の音から始める腸活 便秘/管理アプリ,SUNTORY GLOBAL INNOVATION CENTER LIMITED,Health & Fitness,2023-02-01,3931,1659743337,https://apps.apple.com/jp/app/%E8%85%B8note-%E8%85%B8%E3%81%AE%E9%9F%B3%E3%81%8B%E3%82%89%E5%A7%8B%E3%82%81%E3%82%8B%E8%85%B8%E6%B4%BB-%E4%BE%BF%E7%A7%98-%E7%AE%A1%E7%90%86%E3%82%A2%E3%83%97%E3%83%AA/id1659743337?uo=4
便秘スッキリカレンダー,Futasaji LLC,Health & Fitness,2016-01-09,1800,1071616084,https://apps.apple.com/jp/app/%E4%BE%BF%E7%A7%98%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/id1071616084?uo=4
うんちくん AI健康記録&うんトモ,TsuzuKit,Health & Fitness,2026-02-26,540,6758856276,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E3%81%8F%E3%82%93-ai%E5%81%A5%E5%BA%B7%E8%A8%98%E9%8C%B2-%E3%81%86%E3%82%93%E3%83%88%E3%83%A2/id6758856276?uo=4
快便記録,Stack3,Lifestyle,2019-04-28,352,1460782550,https://apps.apple.com/jp/app/%E5%BF%AB%E4%BE%BF%E8%A8%98%E9%8C%B2/id1460782550?uo=4
便秘改善カレンダー - 排便記録を管理してスッキリしよう,Taro Horiguchi,Health & Fitness,2020-02-17,340,1499049071,https://apps.apple.com/jp/app/%E4%BE%BF%E7%A7%98%E6%94%B9%E5%96%84%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC-%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2%E3%82%92%E7%AE%A1%E7%90%86%E3%81%97%E3%81%A6%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%81%97%E3%82%88%E3%81%86/id1499049071?uo=4
トイレ日記-腸と身体の健康を排便の記録で管理！,Kazuya Fujita,Health & Fitness,2021-06-24,182,1568981910,https://apps.apple.com/jp/app/%E3%83%88%E3%82%A4%E3%83%AC%E6%97%A5%E8%A8%98-%E8%85%B8%E3%81%A8%E8%BA%AB%E4%BD%93%E3%81%AE%E5%81%A5%E5%BA%B7%E3%82%92%E6%8E%92%E4%BE%BF%E3%81%AE%E8%A8%98%E9%8C%B2%E3%81%A7%E7%AE%A1%E7%90%86/id1568981910?uo=4
トイレ記録＆音消し擬音 / 音之様と音之姫様,mitsuhiro nara,Medical,2017-09-05,172,1275811979,https://apps.apple.com/jp/app/%E3%83%88%E3%82%A4%E3%83%AC%E8%A8%98%E9%8C%B2-%E9%9F%B3%E6%B6%88%E3%81%97%E6%93%AC%E9%9F%B3-%E9%9F%B3%E4%B9%8B%E6%A7%98%E3%81%A8%E9%9F%B3%E4%B9%8B%E5%A7%AB%E6%A7%98/id1275811979?uo=4
腸活支援アプリ - フォドマップメモ,KAZUYA KIMURA,Health & Fitness,2019-12-31,168,1492616254,https://apps.apple.com/jp/app/%E8%85%B8%E6%B4%BB%E6%94%AF%E6%8F%B4%E3%82%A2%E3%83%97%E3%83%AA-%E3%83%95%E3%82%A9%E3%83%89%E3%83%9E%E3%83%83%E3%83%97%E3%83%A1%E3%83%A2/id1492616254?uo=4
